SAMPLE_ID	AGE	d13C	d18O	LITHIUM	MAGNESIUM	CALCIUM	MANGANESE	COBALT	COPPER	ZINC	STRONTIUM	BARIUM	AREA	BAY	STATION	DATE	MONTH	YEAR	DEPTH_SHALLOW	DEPTH_DEEP	TEMPERATURE	DO	SALINITY	TURBIDITY	DEPTH_SHALLOW_END	DEPTH_DEEP_END	TEMP_END	DO_END	SALINITY_END	TURBIDITY_END
Cleu_Dic065	0	-8.68	-0.7	6.479621705	20382.57267	0.008741568	82.37630102	0.057679205	10.91956222	17.79907776	1780.466667	25.35094517	2																	
Cleu_Dic066	0	-9.53	-0.7	3.248948014	30462.11042	0.006814041	82.3354428	0.049044559	8.140307032	15.31837185	1620.224667	26.02682872	2																	
Cleu_Dic067	0	-9.22	-1.47	4.614347122	23219.23202	0.006700458	49.86337215	0.057412586	7.425182208	16.45375271	2415.542475	15.81665566	2																	
Cleu_Dic068	0	-12.25	-1.78	3.299727988	24563.90922	0.00571271	116.035303	0.167194851	9.124243904	40.34086832	1511.4753	29.91785841	2																	
Cleu_Dic070	0	-11.47	-1.49										2																	
Cleu_Dic071	0	-10.8	-2.01	2.755379605	23868.94384	0.007366696	101.8963158	0.047520261	22.4145447	22.34592277	1362.159473	20.30511083	2																	
Cleu_Dic072	0												2																	
Cleu_Dic073	2												2																	
Cleu_Gal001	14	-6.55	0.14	12.62011728	19042.97495	0.009107011	57.68159262	0.378770334	1.993536289	38.88859706	2145.65447	27.22086241																		
Cleu_Gal002	7	-7.03	-0.08	15.3197036	18396.03376	0.007408595	81.8349296	0.580619938	4.427274384	39.99754178	1736.147137	24.33262487																		
Cleu_Gal003	14	-7.44	0.16	14.95259997	18377.10114	0.009299924	48.19431385	0.235043666	3.497506141	33.8605799	2212.005674	29.00823521																		
Cleu_Gal004	11	-7.63	-1.35																											
Cleu_Lag001	2	-3.64	2.13	28.09393972	23997.31619	0.011304275	45.19327756	0.151241515	21.63212856	49.67420028	3204.199544	16.33317126	7																	
Cleu_Lag002	0	-6.35	-0.54	15.21070455	25718.79854	0.010168695	58.46198463	0.116704836	30.95824642	29.14842315	2573.222652	25.74568732	8	230	329															
Cleu_Mat001	0	-5.7	0.71	18.66568341	31830.33794	0.008897941	138.0027252	0.401975707	59.25521825	75.49407264	3243.267338	30.01266191	3																	
Cleu_Mat002	0	-6.46	2.24	5.811557781	27224.17205	0.008921716	229.4679373	0.225780561	77.75768224	62.55066213	2447.052892	60.65217106	3																	
Cleu_Mat003	0	-5.76	0.38	25.15549346	33713.44014	0.009717499	100.9708771	0.494425834	210.2933255	70.1467618	3383.783305	22.30824332	3																	
Cleu_Mat004	0	-5.72	2.42	16.9466034	29017.69068	0.007867067	67.36274365	0.233247797	47.01561579	110.6352605	3790.856907	11.43771488	3																	
Cleu_Mat005	0	-8.59	-12.23	11.20830463	23679.61773	0.008941963	49.44866122	0.103739537	35.90283388	19.33117244	2505.462446	23.04950858	3																	
Cleu_Mat006	0	-6.25	1.08	14.63013096	26713.45331	0.007625534	121.1344089	0.063700985	1.24593148	35.66991076	2631.119842	33.12564911	3																	
Cleu_Mat007	0	-4.64	3.54	15.00014555	23923.89459	0.008199925	76.10456419	0.396961366	28.2537005	33.49493714	2612.546628	22.03854372	3	210	222															
Cleu_Mat008	0	-5.72	2.24	9.940745915	22501.63986	0.008046383	108.3968587	0.323405001	983.8309022	25.92802022	2189.717818	29.00496613	3	210	222															
Cleu_Mat009	0	-6.07	-0.95	9.03851192	18463.45233	0.010468195	64.07794703	0.149411366	2.988723706	18.18274516	1852.197698	16.03895352	3	360	165															
Cleu_Mat010	0	-6.76	-1.26	14.14012038	24785.55931	0.00957466	82.47027493	0.23507985	61.06908141	27.54165495	2303.078465	23.68698037	3	360	165															
Cleu_Mat011	0	-5.53	-0.27	13.22219958	18135.13313	0.009945925	44.01043209	0.055077766	24.19485051	21.02188398	2751.39741	18.61989696	3	360	180															
